app,cluster,isNamespaced,critical,team,storeID,type,service,name,namespace,runID,class,id,label
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d25f8,User,,user-rb-r-crb-cr-fail,,01jzmmdybqgekbn439fjdz6she,Identity,65584,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d265a,ServiceAccount,,bootstrap-signer,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,131120,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d25ef,ServiceAccount,,rolebind-sa-rb-r-crb-cr-fail,default,01jzmmdybqgekbn439fjdz6she,Identity,65736,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d25e2,ServiceAccount,,rolebind-sa-rb-cr-rb-cr,default,01jzmmdybqgekbn439fjdz6she,Identity,65888,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d2633,ServiceAccount,,tokenget-sa,default,01jzmmdybqgekbn439fjdz6she,Identity,66368,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d262a,ServiceAccount,,pod-exec-sa,default,01jzmmdybqgekbn439fjdz6she,Identity,66584,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d25d9,ServiceAccount,,rolebind-sa-rb-cr-crb-cr-fail,default,01jzmmdybqgekbn439fjdz6she,Identity,67016,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d2601,ServiceAccount,,rolebind-sa-rb-r-rb-crb,default,01jzmmdybqgekbn439fjdz6she,Identity,67352,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d25e8,ServiceAccount,,rolebind-sa-rb-cr-rb-r,default,01jzmmdybqgekbn439fjdz6she,Identity,68920,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d2642,ServiceAccount,,pod-patch-sa,default,01jzmmdybqgekbn439fjdz6she,Identity,131904,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d2627,ServiceAccount,,pod-create-sa,default,01jzmmdybqgekbn439fjdz6she,Identity,132552,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d2636,ServiceAccount,,impersonate-sa,default,01jzmmdybqgekbn439fjdz6she,Identity,132632,Identity
